,Player,Nation,Pos,Squad.2,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
106,Emre Can,de GER,"MF,DF",Dortmund,29,1994,10.1,0,5,1,20.0,0.5,0.1,0.0,0.0,1,0,0,0.2,0.2,0.03,-0.2,-0.2
107,João Cancelo,pt POR,DF,Barcelona,29,1994,9.0,2,11,5,45.5,1.23,0.56,0.18,0.4,0,0,0,0.6,0.6,0.06,1.4,1.4
108,Nicolás Capaldo,ar ARG,"MF,DF",RB Salzburg,25,1997,2.4,0,3,2,66.7,1.27,0.85,0.0,0.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
111,Cameron Carter-Vickers,us USA,DF,Celtic,25,1997,3.3,0,2,1,50.0,0.6,0.3,0.0,0.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
112,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,9.4,1,8,1,12.5,0.85,0.11,0.13,1.0,0,0,0,0.6,0.6,0.07,0.4,0.4
113,Fabio Carvalho,pt POR,MF,RB Leipzig,20,2002,1.4,0,4,1,25.0,2.93,0.73,0.0,0.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1
117,Casemiro,br BRA,MF,Manchester Utd,31,1992,1.8,2,5,2,40.0,2.71,1.08,0.4,1.0,0,0,0,1.0,1.0,0.2,1.0,1.0
118,Valentín Castellanos,ar ARG,FW,Lazio,24,1998,2.4,0,7,1,14.3,2.89,0.41,0.0,0.0,0,0,0,1.4,1.4,0.2,-1.4,-1.4
119,André Castro,pt POR,MF,Braga,35,1988,0.1,1,1,1,100.0,18.0,18.0,1.0,1.0,0,0,0,0.0,0.0,0.0,1.0,1.0
120,Danilo Cataldi,it ITA,MF,Lazio,28,1994,1.8,0,1,1,100.0,0.56,0.56,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
121,Dani Ceballos,es ESP,MF,Real Madrid,26,1996,1.7,1,2,1,50.0,1.18,0.59,0.5,1.0,0,0,0,0.2,0.2,0.09,0.8,0.8
122,Miguel Chaiwa,zm ZAM,MF,Young Boys,19,2004,0.7,0,1,1,100.0,1.5,1.5,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
124,Andreas Christensen,dk DEN,"DF,MF",Barcelona,27,1996,4.9,1,4,1,25.0,0.82,0.21,0.25,1.0,0,0,0,0.7,0.7,0.18,0.3,0.3
125,Samuel Chukwueze,ng NGA,FW,Milan,24,1999,1.8,2,9,4,44.4,4.91,2.18,0.22,0.5,0,0,0,0.9,0.9,0.1,1.1,1.1
126,Viktor Claesson,se SWE,"FW,MF",FC Copenhagen,31,1992,5.3,0,6,1,16.7,1.13,0.19,0.0,0.0,0,0,0,0.8,0.8,0.13,-0.8,-0.8
128,Ebrima Colley,gm GAM,"MF,FW",Young Boys,23,2000,1.4,1,6,1,16.7,4.29,0.71,0.17,1.0,0,0,0,0.8,0.8,0.13,0.2,0.2
130,Kingsley Coman,fr FRA,FW,Bayern Munich,27,1996,5.0,2,11,3,27.3,2.22,0.61,0.18,0.67,0,0,0,1.8,1.8,0.17,0.2,0.2
131,Francisco Conceição,pt POR,"FW,MF",Porto,20,2002,2.7,1,7,3,42.9,2.61,1.12,0.14,0.33,1,0,0,0.9,0.9,0.13,0.1,0.1
133,Andreas Cornelius,dk DEN,"FW,MF",FC Copenhagen,30,1993,0.9,0,1,1,100.0,1.1,1.1,0.0,0.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
134,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28,1995,3.6,1,16,8,50.0,4.44,2.22,0.06,0.13,0,0,0,2.1,2.1,0.13,-1.1,-1.1
141,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,5.1,0,2,1,50.0,0.39,0.19,0.0,0.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
142,Kevin Danso,at AUT,DF,Lens,24,1998,6.0,0,7,1,14.3,1.17,0.17,0.0,0.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6
144,David Datro Fofana,ci CIV,FW,Union Berlin,20,2002,2.2,1,8,4,50.0,3.62,1.81,0.13,0.25,0,0,0,0.9,0.9,0.11,0.1,0.1
145,Alphonso Davies,ca CAN,DF,Bayern Munich,22,2000,7.8,1,4,1,25.0,0.51,0.13,0.25,1.0,0,0,0,0.2,0.2,0.06,0.8,0.8
146,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,2.2,2,13,6,46.2,5.82,2.69,0.15,0.33,3,0,0,1.2,1.2,0.09,0.8,0.8
148,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29,1994,6.8,1,6,2,33.3,0.88,0.29,0.17,0.5,0,0,0,0.7,0.7,0.12,0.3,0.3
149,Amar Dedić,ba BIH,DF,RB Salzburg,20,2002,6.0,0,6,2,33.3,1.0,0.33,0.0,0.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
151,Ousmane Dembélé,fr FRA,"FW,MF",Paris S-G,26,1997,10.6,2,33,10,30.3,3.12,0.95,0.06,0.2,1,0,0,3.0,3.0,0.09,-1.0,-1.0
154,Sergiño Dest,us USA,DF,PSV Eindhoven,22,2000,7.2,0,4,2,50.0,0.56,0.28,0.0,0.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
156,Giovanni Di Lorenzo,it ITA,DF,Napoli,29,1993,8.0,1,10,4,40.0,1.25,0.5,0.1,0.25,1,0,0,0.4,0.4,0.04,0.6,0.6
157,Ángel Di María,ar ARG,FW,Benfica,35,1988,4.6,1,12,5,41.7,2.62,1.09,0.08,0.2,1,0,0,0.3,0.3,0.03,0.7,0.7
158,Rúben Dias,pt POR,DF,Manchester City,26,1997,8.5,0,5,2,40.0,0.59,0.24,0.0,0.0,0,0,0,0.7,0.7,0.13,-0.7,-0.7
159,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,23,1999,3.6,2,10,3,30.0,2.79,0.84,0.2,0.67,0,0,0,1.5,1.5,0.16,0.5,0.5
160,Eric Dier,eng ENG,DF,Bayern Munich,29,1994,5.0,0,4,1,25.0,0.8,0.2,0.0,0.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3
162,Javairô Dilrosun,nl NED,DF,Feyenoord,25,1998,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
163,Federico Dimarco,it ITA,DF,Inter,25,1997,4.0,1,6,3,50.0,1.48,0.74,0.17,0.33,1,0,0,0.5,0.5,0.08,0.5,0.5
166,Álvaro djaló,es ESP,FW,Braga,23,1999,4.5,2,8,2,25.0,1.78,0.44,0.25,1.0,1,0,1,1.8,1.1,0.13,0.2,0.9
170,Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,3.4,1,12,6,50.0,3.55,1.78,0.08,0.17,0,0,0,1.3,1.3,0.11,-0.3,-0.3
172,Nene Dorgeles,ml MLI,"FW,MF",RB Salzburg,20,2002,1.5,0,5,2,40.0,3.26,1.3,0.0,0.0,0,0,0,1.1,1.1,0.22,-1.1,-1.1
173,Aleksandar Dragović,at AUT,DF,Red Star,32,1991,6.0,0,2,1,50.0,0.33,0.17,0.0,0.0,0,0,0,0.6,0.6,0.31,-0.6,-0.6
175,Denzel Dumfries,nl NED,DF,Inter,27,1996,3.6,0,7,2,28.6,1.97,0.56,0.0,0.0,0,0,0,0.9,0.9,0.13,-0.9,-0.9
177,Jorge Eduardo Sánchez,mx MEX,DF,Porto,25,1997,2.1,0,2,1,50.0,0.97,0.49,0.0,0.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
178,Eguinaldo,br BRA,"MF,FW",Shakhtar,18,2004,0.2,1,2,1,50.0,11.25,5.63,0.5,1.0,0,0,0,0.1,0.1,0.06,0.9,0.9
182,Meschak Elia,cd COD,"FW,MF",Young Boys,25,1997,5.5,2,7,3,42.9,1.27,0.54,0.29,0.67,0,0,0,0.7,0.7,0.1,1.3,1.3
187,Mohamed Elyounoussi,no NOR,"FW,MF",FC Copenhagen,28,1994,7.6,3,17,7,41.2,2.24,0.92,0.18,0.43,0,0,0,2.1,2.1,0.13,0.9,0.9
188,Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997,5.7,2,10,5,50.0,1.76,0.88,0.2,0.4,0,0,0,1.8,1.8,0.18,0.2,0.2
189,Luis Enrique Palma,hn HON,FW,Celtic,23,2000,3.0,2,5,4,80.0,1.69,1.35,0.2,0.25,0,1,1,1.1,0.3,0.05,0.9,0.7
